Process, Parameter, Value
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.749
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 15:22:49.717449+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 15:52:49.772437+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.54
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 15:52:52.779991+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 16:22:52.842587+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:0.62
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 16:22:55.850095+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 16:27:43.953973+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:4:48.103
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 16:27:46.961610+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 16:28:02.947319+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:0:15.985
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 16:28:05.955595+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 16:29:06.458389+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:1:0.502
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 16:29:09.465994+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 16:29:09.908621+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.442
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 16:29:12.916138+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 16:29:14.084643+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.168
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 16:29:17.092260+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 16:29:17.643706+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.551
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 16:29:20.651125+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 16:29:20.779832+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.128
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 16:29:23.787369+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 16:29:24.233977+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:0.446
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 16:29:27.241605+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 16:29:27.775181+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.533
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 16:29:30.782651+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 16:29:30.852315+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.69
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-26 16:29:30.904716+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:1:12:21.512
CALCPERFORMANCE, START, 2024-01-26 16:29:30.912144+00
CALCPERFORMANCE, END, 2024-01-26 16:29:30.926456+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-26 16:29:30.933827+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:1:12:38.531
