Process, Parameter, Value
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 23:44:45.896315+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 23:44:48.391947+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.495
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-24 23:44:51.399095+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-25 00:14:51.454897+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.55
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-25 00:14:54.462242+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-25 00:44:54.525950+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:0.63
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-25 00:44:57.533211+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-25 00:49:21.692013+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:4:24.158
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-25 00:49:24.699216+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-25 01:19:41.148801+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:16.449
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-25 01:19:44.156440+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-25 01:49:44.559248+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:30:0.402
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-25 01:49:47.566619+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-25 01:49:48.028780+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.462
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-25 01:49:51.036181+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-25 01:49:52.219345+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.183
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-25 01:49:55.226733+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-25 01:49:55.777210+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.550
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-25 01:49:58.784760+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-25 01:49:58.909993+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.125
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-25 01:50:01.917231+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-25 01:50:02.389180+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:0.471
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-25 01:50:05.396535+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-25 01:50:05.917908+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.521
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-25 01:50:08.925218+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-25 01:50:09.003594+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.78
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-25 01:50:09.058344+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:2:10:34.507
CALCPERFORMANCE, START, 2024-01-25 01:50:09.065944+00
CALCPERFORMANCE, END, 2024-01-25 01:50:09.080155+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-25 01:50:09.087548+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:2:10:50.691
