Process, Parameter, Value
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-24 12:52:39.482651+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:0:10.449
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-24 12:52:42.490381+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-24 12:53:23.172761+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:0:40.682
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-24 12:53:26.180405+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-24 12:53:33.564012+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:0:7.383
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-24 12:53:36.571757+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-24 12:53:36.720869+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.149
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-24 12:53:39.728443+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-24 12:53:39.947281+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:0.218
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-24 12:53:42.954817+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-24 12:53:43.073682+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.118
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-24 12:53:46.081385+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-24 12:53:46.152764+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.71
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-24 12:53:49.160283+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-24 12:55:57.283500+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:2:8.123
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-24 12:56:00.291152+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-24 12:56:00.482948+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.191
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-24 12:56:03.490648+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-24 12:56:03.548774+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.58
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-24 12:56:03.597153+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:0:35:50.428
CALCPERFORMANCE, START, 2024-01-24 12:56:03.604959+00
CALCPERFORMANCE, END, 2024-01-24 12:56:03.619597+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-24 12:56:03.627199+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:0:36:3.966
