Process, Parameter, Value
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-24 12:36:33.615125+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-24 12:36:39.350825+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:5.735
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-24 12:36:42.358445+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-24 12:36:42.590604+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.232
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-24 12:36:45.598237+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-24 12:36:45.655394+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.57
RUNQUERIES, END, 2024-01-24 12:36:45.703452+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:0:4:0.806
CALCPERFORMANCE, START, 2024-01-24 12:36:45.711103+00
CALCPERFORMANCE, END, 2024-01-24 12:36:45.725467+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-24 12:36:45.732780+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:0:4:14.345
