Process, Parameter, Value
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.452
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 13:16:38.112289+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 13:16:39.298276+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.185
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 13:16:42.305870+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 13:16:42.860255+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.554
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 13:16:45.867935+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 13:16:45.999266+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.131
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 13:16:49.006943+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 13:16:49.460978+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:0.454
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 13:16:52.468879+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 13:16:53.005431+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.536
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 13:16:56.012946+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 13:16:56.084610+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.71
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-26 13:16:56.137566+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:1:12:11.432
CALCPERFORMANCE, START, 2024-01-26 13:16:56.145139+00
CALCPERFORMANCE, END, 2024-01-26 13:16:56.159564+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-26 13:16:56.166927+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:1:12:28.739
