Process, Parameter, Value
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 01:17:22.446618+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 01:17:24.953814+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.507
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 01:17:27.961474+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 01:47:28.017186+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.55
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 01:47:31.025035+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 02:17:31.089484+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:0.64
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 02:17:34.097288+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 02:21:54.946822+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:4:20.849
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 02:21:57.954683+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 02:52:14.403231+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:16.448
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 02:52:17.411155+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 03:22:17.794559+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:30:0.383
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 03:22:20.802424+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 03:22:21.250282+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.447
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 03:22:24.257962+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 03:22:25.428643+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.170
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 03:22:28.436185+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 03:22:28.980813+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.544
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 03:22:31.988467+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 03:22:32.104042+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.115
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 03:22:35.111694+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 03:22:35.564284+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:0.452
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 03:22:38.571908+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 03:22:39.083346+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.511
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 03:22:42.090941+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 03:22:42.164160+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.73
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-26 03:22:42.219985+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:2:10:37.652
CALCPERFORMANCE, START, 2024-01-26 03:22:42.227938+00
CALCPERFORMANCE, END, 2024-01-26 03:22:42.242541+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-26 03:22:42.249991+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:2:10:54.516
