Process, Parameter, Value
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 23:39:25.177826+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.6
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 23:39:28.185419+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 23:44:21.646138+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:4:53.460
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 23:44:24.653782+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 23:44:27.282730+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.628
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 23:44:30.290507+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 23:44:32.834725+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.544
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 23:44:35.842293+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 23:44:38.372975+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.530
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-24 23:44:41.380354+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-25 00:14:41.436695+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.56
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-25 00:14:44.444151+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-25 00:44:44.505575+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:0.61
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-25 00:44:47.513084+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-25 01:10:04.109787+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:25:16.596
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-25 01:10:07.117288+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-25 01:40:23.507779+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:16.390
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-25 01:40:26.515664+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-25 02:10:26.704379+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:30:0.188
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-25 02:10:29.712021+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-25 02:10:30.180877+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.468
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-25 02:10:33.188339+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-25 02:10:34.370914+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.182
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-25 02:10:37.378395+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-25 02:10:37.906849+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.528
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-25 02:10:40.914286+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-25 02:10:41.036483+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.122
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-25 02:10:44.043957+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-25 02:32:44.809493+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:22:0.765
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-25 02:32:47.817006+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-25 02:32:48.187865+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.370
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-25 02:32:51.195441+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-25 02:32:51.273095+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.77
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-25 02:32:51.328017+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:2:53:30.166
CALCPERFORMANCE, START, 2024-01-25 02:32:51.335497+00
CALCPERFORMANCE, END, 2024-01-25 02:32:51.349830+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-25 02:32:51.357602+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:2:53:47.898
