Process, Parameter, Value
QUERY-EXEC | loop-2 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:43.452
QUERY-EXEC | loop-2 | e5-q3c, START, 2024-01-27 17:17:19.282935+00
QUERY-EXEC | loop-2 | e5-q3c, END, 2024-01-27 17:21:03.527420+00
QUERY-EXEC | loop-2 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:44.244
QUERY-EXEC | loop-2 | h8-q5b, START, 2024-01-27 17:21:06.535188+00
QUERY-EXEC | loop-2 | h8-q5b, END, 2024-01-27 17:28:22.867677+00
QUERY-EXEC | loop-2 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:7:16.332
QUERY-EXEC | loop-2 | k11-q8, START, 2024-01-27 17:28:25.875662+00
QUERY-EXEC | loop-2 | k11-q8, END, 2024-01-27 17:40:54.127422+00
QUERY-EXEC | loop-2 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:12:28.251
QUERY-EXEC | loop-2 | l12-q9, START, 2024-01-27 17:40:57.135235+00
QUERY-EXEC | loop-2 | l12-q9, END, 2024-01-27 17:55:23.708075+00
QUERY-EXEC | loop-2 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:14:26.572
QUERY-EXEC | loop-2 | m13-q10, START, 2024-01-27 17:55:26.715940+00
QUERY-EXEC | loop-2 | m13-q10, END, 2024-01-27 17:58:06.245925+00
QUERY-EXEC | loop-2 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:2:39.529
QUERY-EXEC | loop-2 | n14-q11, START, 2024-01-27 17:58:09.253769+00
QUERY-EXEC | loop-2 | n14-q11, END, 2024-01-27 17:58:44.458430+00
QUERY-EXEC | loop-2 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:35.204
QUERY-EXEC | loop-2 | o15-q12a, START, 2024-01-27 17:58:47.466212+00
QUERY-EXEC | loop-2 | o15-q12a, END, 2024-01-27 18:01:50.346632+00
QUERY-EXEC | loop-2 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:3:2.880
QUERY-EXEC | loop-2 | q17-q12c, START, 2024-01-27 18:01:53.354435+00
QUERY-EXEC | loop-2 | q17-q12c, END, 2024-01-27 18:02:09.459701+00
QUERY-EXEC | loop-2 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:16.105
QUERY-SKIP | loop-2 | p16-q12b, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-3 | a1-q1, START, 2024-01-27 18:02:12.791681+00
QUERY-EXEC | loop-3 | a1-q1, END, 2024-01-27 18:03:26.054418+00
QUERY-EXEC | loop-3 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:13.262
QUERY-EXEC | loop-3 | c3-q3a, START, 2024-01-27 18:03:29.062685+00
QUERY-EXEC | loop-3 | c3-q3a, END, 2024-01-27 18:07:40.693318+00
QUERY-EXEC | loop-3 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:11.630
QUERY-EXEC | loop-3 | d4-q3b, START, 2024-01-27 18:07:43.701077+00
QUERY-EXEC | loop-3 | d4-q3b, END, 2024-01-27 18:11:33.381330+00
QUERY-EXEC | loop-3 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:49.680
QUERY-EXEC | loop-3 | e5-q3c, START, 2024-01-27 18:11:36.389173+00
QUERY-EXEC | loop-3 | e5-q3c, END, 2024-01-27 18:15:26.113620+00
QUERY-EXEC | loop-3 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:49.724
QUERY-EXEC | loop-3 | h8-q5b, START, 2024-01-27 18:15:29.121500+00
QUERY-EXEC | loop-3 | h8-q5b, END, 2024-01-27 18:22:44.108257+00
QUERY-EXEC | loop-3 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:7:14.986
QUERY-EXEC | loop-3 | k11-q8, START, 2024-01-27 18:22:47.116025+00
QUERY-EXEC | loop-3 | k11-q8, END, 2024-01-27 18:34:38.725191+00
QUERY-EXEC | loop-3 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:11:51.609
QUERY-EXEC | loop-3 | l12-q9, START, 2024-01-27 18:34:41.733167+00
QUERY-EXEC | loop-3 | l12-q9, END, 2024-01-27 18:49:21.238582+00
QUERY-EXEC | loop-3 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:14:39.505
QUERY-EXEC | loop-3 | m13-q10, START, 2024-01-27 18:49:24.246414+00
QUERY-EXEC | loop-3 | m13-q10, END, 2024-01-27 18:52:04.672487+00
QUERY-EXEC | loop-3 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:2:40.426
QUERY-EXEC | loop-3 | n14-q11, START, 2024-01-27 18:52:07.680255+00
QUERY-EXEC | loop-3 | n14-q11, END, 2024-01-27 18:52:42.556424+00
QUERY-EXEC | loop-3 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:34.876
QUERY-EXEC | loop-3 | o15-q12a, START, 2024-01-27 18:52:45.564235+00
QUERY-EXEC | loop-3 | o15-q12a, END, 2024-01-27 19:09:40.164207+00
QUERY-EXEC | loop-3 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:16:54.599
QUERY-EXEC | loop-3 | q17-q12c, START, 2024-01-27 19:09:43.171973+00
QUERY-EXEC | loop-3 | q17-q12c, END, 2024-01-27 19:09:59.288703+00
QUERY-EXEC | loop-3 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:16.116
QUERY-SKIP | loop-3 | p16-q12b, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-4 | a1-q1, START, 2024-01-27 19:10:02.624725+00
QUERY-EXEC | loop-4 | a1-q1, END, 2024-01-27 19:11:18.574662+00
QUERY-EXEC | loop-4 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:15.949
QUERY-EXEC | loop-4 | c3-q3a, START, 2024-01-27 19:11:21.582433+00
QUERY-EXEC | loop-4 | c3-q3a, END, 2024-01-27 19:15:34.397518+00
QUERY-EXEC | loop-4 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:12.815
QUERY-EXEC | loop-4 | d4-q3b, START, 2024-01-27 19:15:37.405548+00
QUERY-EXEC | loop-4 | d4-q3b, END, 2024-01-27 19:19:27.180242+00
QUERY-EXEC | loop-4 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:49.774
QUERY-EXEC | loop-4 | e5-q3c, START, 2024-01-27 19:19:30.188277+00
QUERY-EXEC | loop-4 | e5-q3c, END, 2024-01-27 19:23:19.379737+00
QUERY-EXEC | loop-4 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:49.191
QUERY-EXEC | loop-4 | h8-q5b, START, 2024-01-27 19:23:22.387535+00
QUERY-EXEC | loop-4 | h8-q5b, END, 2024-01-27 19:30:19.529311+00
QUERY-EXEC | loop-4 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:6:57.141
QUERY-EXEC | loop-4 | k11-q8, START, 2024-01-27 19:30:22.537362+00
QUERY-EXEC | loop-4 | k11-q8, END, 2024-01-27 19:43:25.523291+00
QUERY-EXEC | loop-4 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:13:2.985
QUERY-EXEC | loop-4 | l12-q9, START, 2024-01-27 19:43:28.531228+00
QUERY-EXEC | loop-4 | l12-q9, END, 2024-01-27 19:55:44.299265+00
QUERY-EXEC | loop-4 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:12:15.768
QUERY-EXEC | loop-4 | m13-q10, START, 2024-01-27 19:55:47.307239+00
QUERY-EXEC | loop-4 | m13-q10, END, 2024-01-27 19:58:29.812865+00
QUERY-EXEC | loop-4 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:2:42.505
QUERY-EXEC | loop-4 | n14-q11, START, 2024-01-27 19:58:32.820709+00
QUERY-EXEC | loop-4 | n14-q11, END, 2024-01-27 19:59:07.967650+00
QUERY-EXEC | loop-4 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:35.146
QUERY-EXEC | loop-4 | o15-q12a, START, 2024-01-27 19:59:10.975512+00
QUERY-EXEC | loop-4 | o15-q12a, END, 2024-01-27 20:02:14.751136+00
QUERY-EXEC | loop-4 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:3:3.775
QUERY-EXEC | loop-4 | q17-q12c, START, 2024-01-27 20:02:17.758953+00
QUERY-EXEC | loop-4 | q17-q12c, END, 2024-01-27 20:02:33.819724+00
QUERY-EXEC | loop-4 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:16.60
QUERY-SKIP | loop-4 | p16-q12b, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-4 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-5 | a1-q1, START, 2024-01-27 20:02:37.152931+00
QUERY-EXEC | loop-5 | a1-q1, END, 2024-01-27 20:03:49.665176+00
QUERY-EXEC | loop-5 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:12.512
QUERY-EXEC | loop-5 | c3-q3a, START, 2024-01-27 20:03:52.673154+00
QUERY-EXEC | loop-5 | c3-q3a, END, 2024-01-27 20:08:05.861444+00
QUERY-EXEC | loop-5 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:13.188
QUERY-EXEC | loop-5 | d4-q3b, START, 2024-01-27 20:08:08.869200+00
QUERY-EXEC | loop-5 | d4-q3b, END, 2024-01-27 20:11:58.845816+00
QUERY-EXEC | loop-5 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:49.976
QUERY-EXEC | loop-5 | e5-q3c, START, 2024-01-27 20:12:01.853621+00
QUERY-EXEC | loop-5 | e5-q3c, END, 2024-01-27 20:15:52.124659+00
QUERY-EXEC | loop-5 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:50.271
QUERY-EXEC | loop-5 | h8-q5b, START, 2024-01-27 20:15:55.132620+00
QUERY-EXEC | loop-5 | h8-q5b, END, 2024-01-27 20:23:10.248585+00
QUERY-EXEC | loop-5 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:7:15.115
QUERY-EXEC | loop-5 | k11-q8, START, 2024-01-27 20:23:13.256362+00
QUERY-EXEC | loop-5 | k11-q8, END, 2024-01-27 20:35:58.086707+00
QUERY-EXEC | loop-5 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:12:44.830
QUERY-EXEC | loop-5 | l12-q9, START, 2024-01-27 20:36:01.094789+00
QUERY-EXEC | loop-5 | l12-q9, END, 2024-01-27 20:49:41.822388+00
QUERY-EXEC | loop-5 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:13:40.727
QUERY-EXEC | loop-5 | m13-q10, START, 2024-01-27 20:49:44.830364+00
QUERY-EXEC | loop-5 | m13-q10, END, 2024-01-27 20:52:27.923336+00
QUERY-EXEC | loop-5 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:2:43.92
QUERY-EXEC | loop-5 | n14-q11, START, 2024-01-27 20:52:30.931143+00
QUERY-EXEC | loop-5 | n14-q11, END, 2024-01-27 20:53:06.139790+00
QUERY-EXEC | loop-5 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:35.208
QUERY-EXEC | loop-5 | o15-q12a, START, 2024-01-27 20:53:09.147439+00
QUERY-EXEC | loop-5 | o15-q12a, END, 2024-01-27 21:10:15.078761+00
QUERY-EXEC | loop-5 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:17:5.931
QUERY-EXEC | loop-5 | q17-q12c, START, 2024-01-27 21:10:18.086546+00
QUERY-EXEC | loop-5 | q17-q12c, END, 2024-01-27 21:10:34.185757+00
QUERY-EXEC | loop-5 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:16.99
QUERY-SKIP | loop-5 | p16-q12b, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-5 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-6 | a1-q1, START, 2024-01-27 21:10:37.520983+00
QUERY-EXEC | loop-6 | a1-q1, END, 2024-01-27 21:11:53.206801+00
QUERY-EXEC | loop-6 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:15.685
QUERY-EXEC | loop-6 | c3-q3a, START, 2024-01-27 21:11:56.214786+00
QUERY-EXEC | loop-6 | c3-q3a, END, 2024-01-27 21:16:09.024433+00
QUERY-EXEC | loop-6 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:12.809
QUERY-EXEC | loop-6 | d4-q3b, START, 2024-01-27 21:16:12.032575+00
QUERY-EXEC | loop-6 | d4-q3b, END, 2024-01-27 21:20:01.232554+00
QUERY-EXEC | loop-6 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:49.199
QUERY-EXEC | loop-6 | e5-q3c, START, 2024-01-27 21:20:04.240534+00
QUERY-EXEC | loop-6 | e5-q3c, END, 2024-01-27 21:23:53.263666+00
QUERY-EXEC | loop-6 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:49.23
QUERY-EXEC | loop-6 | h8-q5b, START, 2024-01-27 21:23:56.271546+00
QUERY-EXEC | loop-6 | h8-q5b, END, 2024-01-27 21:31:12.229224+00
QUERY-EXEC | loop-6 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:7:15.957
QUERY-EXEC | loop-6 | k11-q8, START, 2024-01-27 21:31:15.237035+00
QUERY-EXEC | loop-6 | k11-q8, END, 2024-01-27 21:44:34.513625+00
QUERY-EXEC | loop-6 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:13:19.276
QUERY-EXEC | loop-6 | l12-q9, START, 2024-01-27 21:44:37.521475+00
QUERY-EXEC | loop-6 | l12-q9, END, 2024-01-27 21:58:48.591772+00
QUERY-EXEC | loop-6 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:14:11.70
QUERY-EXEC | loop-6 | m13-q10, START, 2024-01-27 21:58:51.599450+00
QUERY-EXEC | loop-6 | m13-q10, END, 2024-01-27 22:01:33.438765+00
QUERY-EXEC | loop-6 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:2:41.839
QUERY-EXEC | loop-6 | n14-q11, START, 2024-01-27 22:01:36.446526+00
QUERY-EXEC | loop-6 | n14-q11, END, 2024-01-27 22:02:11.459885+00
QUERY-EXEC | loop-6 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:35.13
QUERY-EXEC | loop-6 | o15-q12a, START, 2024-01-27 22:02:14.467837+00
QUERY-EXEC | loop-6 | o15-q12a, END, 2024-01-27 22:30:40.024028+00
QUERY-EXEC | loop-6 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:28:25.556
QUERY-EXEC | loop-6 | q17-q12c, START, 2024-01-27 22:30:43.031790+00
QUERY-EXEC | loop-6 | q17-q12c, END, 2024-01-27 22:30:59.153811+00
QUERY-EXEC | loop-6 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:16.122
QUERY-SKIP | loop-6 | p16-q12b, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-6 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-7 | a1-q1, START, 2024-01-27 22:31:02.489218+00
QUERY-EXEC | loop-7 | a1-q1, END, 2024-01-27 22:32:21.090370+00
QUERY-EXEC | loop-7 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:1:18.601
QUERY-EXEC | loop-7 | c3-q3a, START, 2024-01-27 22:32:24.098186+00
QUERY-EXEC | loop-7 | c3-q3a, END, 2024-01-27 22:36:36.904010+00
QUERY-EXEC | loop-7 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:4:12.805
QUERY-EXEC | loop-7 | d4-q3b, START, 2024-01-27 22:36:39.911721+00
QUERY-EXEC | loop-7 | d4-q3b, END, 2024-01-27 22:40:30.631781+00
QUERY-EXEC | loop-7 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:3:50.720
QUERY-EXEC | loop-7 | e5-q3c, START, 2024-01-27 22:40:33.639512+00
QUERY-EXEC | loop-7 | e5-q3c, END, 2024-01-27 22:44:23.410101+00
QUERY-EXEC | loop-7 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:3:49.770
QUERY-EXEC | loop-7 | h8-q5b, START, 2024-01-27 22:44:26.417873+00
QUERY-EXEC | loop-7 | h8-q5b, END, 2024-01-27 22:51:28.278795+00
QUERY-EXEC | loop-7 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:7:1.860
QUERY-EXEC | loop-7 | k11-q8, START, 2024-01-27 22:51:31.286858+00
QUERY-EXEC | loop-7 | k11-q8, END, 2024-01-27 23:03:52.021949+00
QUERY-EXEC | loop-7 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:12:20.735
QUERY-EXEC | loop-7 | l12-q9, START, 2024-01-27 23:03:55.029713+00
QUERY-EXEC | loop-7 | l12-q9, END, 2024-01-27 23:18:27.443449+00
QUERY-EXEC | loop-7 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:14:32.413
QUERY-EXEC | loop-7 | m13-q10, START, 2024-01-27 23:18:30.451271+00
QUERY-EXEC | loop-7 | m13-q10, END, 2024-01-27 23:21:10.237833+00
QUERY-EXEC | loop-7 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:2:39.786
QUERY-EXEC | loop-7 | n14-q11, START, 2024-01-27 23:21:13.245685+00
QUERY-EXEC | loop-7 | n14-q11, END, 2024-01-27 23:21:47.984391+00
QUERY-EXEC | loop-7 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:34.738
QUERY-EXEC | loop-7 | o15-q12a, START, 2024-01-27 23:21:50.992266+00
QUERY-EXEC | loop-7 | o15-q12a, END, 2024-01-27 23:40:47.643961+00
QUERY-EXEC | loop-7 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:18:56.651
