Process, Parameter, Value
RAPSQLTRIPLES-CNT, START, 2024-01-24 20:47:20.219090+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 20:47:20.770196+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.551
RUNQUERIES, START, 2024-01-24 20:47:25.779404+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 20:47:28.789319+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 20:47:29.793327+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.4
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 20:47:32.800733+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 20:52:47.977969+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:5:15.177
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 20:52:50.985578+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 20:52:53.858546+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.872
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 20:52:56.866052+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 20:53:00.832109+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:3.966
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 20:53:03.839618+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 20:53:06.618950+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.779
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-24 20:53:09.626347+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-24 21:23:09.683519+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.57
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-24 21:23:12.690955+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-24 21:53:12.758658+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:0.67
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-24 21:53:15.766291+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-24 21:57:41.151578+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:4:25.385
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-24 21:57:44.159064+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-24 22:28:00.421827+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:16.262
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-24 22:28:03.429634+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-24 22:58:03.710467+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:30:0.280
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-24 22:58:06.718069+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-24 22:58:07.179187+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.461
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-24 22:58:10.186819+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-24 22:58:11.369067+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.182
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-24 22:58:14.376495+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-24 22:58:14.910499+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.534
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-24 22:58:17.918372+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-24 22:58:18.056326+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.137
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-24 22:58:21.063733+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-24 22:58:21.535670+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:0.471
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-24 22:58:24.543076+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-24 22:58:24.898608+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.355
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-24 22:58:27.906066+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-24 22:58:27.980384+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.74
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-24 22:58:28.035500+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:2:11:2.256
CALCPERFORMANCE, START, 2024-01-24 22:58:28.043229+00
CALCPERFORMANCE, END, 2024-01-24 22:58:28.057811+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-24 22:58:28.065269+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:2:11:19.836
