Process, Parameter, Value
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.472
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 07:00:11.313206+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 07:30:11.368363+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.55
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 07:30:14.375968+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 08:00:14.439561+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:0.63
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 08:00:17.447200+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 08:04:39.276890+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:4:21.829
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 08:04:42.284541+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 08:34:58.401057+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:16.116
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 08:35:01.408703+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 09:05:01.709637+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:30:0.300
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 09:05:04.717360+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 09:05:05.169147+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.451
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 09:05:08.176745+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 09:05:09.338189+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.161
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 09:05:12.345702+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 09:05:12.888672+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.542
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 09:05:15.896407+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 09:05:16.010824+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.114
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 09:05:19.018338+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 09:05:19.477811+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:0.459
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 09:05:22.485324+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 09:05:23.038624+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.553
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 09:05:26.046137+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 09:05:26.118753+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.72
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-26 09:05:26.174830+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:2:10:34.520
CALCPERFORMANCE, START, 2024-01-26 09:05:26.182364+00
CALCPERFORMANCE, END, 2024-01-26 09:05:26.222105+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.39
MEASUREMENT, END, 2024-01-26 09:05:26.229691+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:2:10:53.60
