Process, Parameter, Value
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 13:12:41.778562+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:0.64
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 13:12:44.786207+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 13:17:06.914241+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:4:22.128
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 13:17:09.922122+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 13:23:30.016812+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:6:20.94
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 13:23:33.024426+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 13:24:34.353889+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:1:1.329
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 13:24:37.361492+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 13:24:37.830349+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.468
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 13:24:40.837973+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 13:24:42.014011+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.176
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 13:24:45.021550+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 13:24:45.573451+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.551
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 13:24:48.581129+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 13:24:48.696899+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.115
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 13:24:51.704408+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 13:24:52.173556+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:0.469
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 13:24:55.181358+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 13:24:55.722536+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.541
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 13:24:58.730211+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 13:24:58.805004+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.74
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-26 13:24:58.858442+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:1:17:41.600
CALCPERFORMANCE, START, 2024-01-26 13:24:58.866351+00
CALCPERFORMANCE, END, 2024-01-26 13:24:58.881037+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-26 13:24:58.888903+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:1:17:58.463
