Process, Parameter, Value
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:30:0.45
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-24 13:21:56.449235+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-24 13:22:37.197772+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:0:40.748
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-24 13:22:40.205603+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-24 13:22:47.734316+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:0:7.528
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-24 13:22:50.742121+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-24 13:22:50.891058+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.148
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-24 13:22:53.898672+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-24 13:22:54.120441+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:0.221
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-24 13:22:57.128380+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-24 13:22:57.251707+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.123
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-24 13:23:00.259365+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-24 13:23:00.331031+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.71
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-24 13:23:03.338648+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-24 13:24:19.383928+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:1:16.45
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-24 13:24:22.391577+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-24 13:24:22.627215+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.235
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-24 13:24:25.634924+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-24 13:24:25.692281+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.57
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | h8-q5b.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-24 13:24:25.740979+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:1:5:39.550
CALCPERFORMANCE, START, 2024-01-24 13:24:25.748567+00
CALCPERFORMANCE, END, 2024-01-24 13:24:25.762737+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-24 13:24:25.770210+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:1:5:53.161
