Process, Parameter, Value
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 09:07:12.150552+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:30:0.256
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 09:07:15.158256+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 09:07:15.618488+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.460
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 09:07:18.626020+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 09:07:19.796959+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.170
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 09:07:22.804488+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 09:07:23.354335+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.549
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 09:07:26.361823+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 09:07:26.490293+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.128
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 09:07:29.497975+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-26 09:07:29.949674+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:0:0.451
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-26 09:07:32.957153+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-26 09:07:33.487478+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.530
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-26 09:07:36.495027+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-26 09:07:36.565261+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.70
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-26 09:07:36.620650+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:2:10:56.441
CALCPERFORMANCE, START, 2024-01-26 09:07:36.628164+00
CALCPERFORMANCE, END, 2024-01-26 09:07:36.642586+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-26 09:07:36.650012+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:2:11:12.679
